"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-03-31,102001,"United States",0,196500,0.00408788962698007,0.0123647604327666,0.0679347826086956,0.0528365567486113,0.00010183818784637,"2007-04","2007-Q2",196600,-0.000508646998982706,"2007-04"
2017-03-31,9,"California",1,493800,0.00529315960912052,0.0154225786551511,0.0706851691240243,0.10000785654744,-0.00436866662616398,"2006-06","2006-Q2",531800,-0.0714554343738247,"2005-07"
2017-03-31,54,"Texas",2,163500,0.00183823529411765,0.00739371534195933,0.0589378238341969,0.0597861998536098,0.022097295604439,"2017-03","2017-Q1",163500,0,"2017-03"
2017-03-31,43,"New York",3,287600,0.010896309314587,0.0330459770114943,0.0816096276795788,0.0325820221743851,,"2007-08","2007-Q3",333500,-0.137631184407796,
2017-03-31,14,"Florida",4,205100,0.00342465753424658,0.0148441365660564,0.100912506709608,0.100607297090708,-0.0167729580519002,"2006-07","2006-Q3",254100,-0.192837465564738,"2005-05"
2017-03-31,21,"Illinois",5,168800,0.00416418798334325,0.0187085093542547,0.0576441102756892,0.0366464527280186,-0.0185214720469656,"2007-05","2007-Q2",203500,-0.170515970515971,"2003-10"
2017-03-31,47,"Pennsylvania",6,158900,0.00315656565656566,0.00824873096446701,0.039241334205363,0.0214528715756188,0.00471403630692802,"2017-03","2017-Q1",158900,0,"2017-03"
2017-03-31,44,"Ohio",7,126200,0.00317965023847377,0.0128410914927769,0.0543024227234754,0.0347216720299923,0.000556373872085292,"2006-05","2006-Q2",126900,-0.00551615445232467,"2005-11"
2017-03-31,30,"Michigan",8,132300,0.00608365019011407,0.0200462606013878,0.0791190864600326,0.0820292424002298,-0.00297419505070162,"2005-12","2005-Q4",142700,-0.0728801681850035,"2003-02"
2017-03-31,16,"Georgia",9,154200,0.00325309043591412,0.0118110236220472,0.0627153687112336,0.0617142067327989,-0.00115988142897416,"2006-11","2006-Q4",156900,-0.017208413001912,"2006-05"
2017-03-31,36,"North Carolina",10,159300,0.00695322376738306,0.0146496815286624,0.064128256513026,0.0318290092705111,0.00745292050535684,"2017-03","2017-Q1",159300,0,"2017-03"
2017-03-31,40,"New Jersey",11,304100,0.00396170353251898,0.011643379906853,0.0518851608439986,0.0297013199916014,-0.0175488179539816,"2006-07","2006-Q3",367700,-0.172967092738646,"2004-09"
2017-03-31,56,"Virginia",12,243300,0.00329896907216495,0.0108018280016618,0.0446543580936024,0.0303662299327148,-0.00932645548199873,"2007-05","2007-Q2",267200,-0.0894461077844311,"2005-07"
2017-03-31,59,"Washington",13,326500,0.00771604938271605,0.0206314473272898,0.103786342123056,0.0836432967611094,0.00813163492145974,"2017-03","2017-Q1",326500,0,"2017-03"
2017-03-31,26,"Massachusetts",14,369400,0.00571739722297849,0.0176308539944904,0.0685565519236332,0.0540623467218373,0.00901258499836688,"2017-03","2017-Q1",369400,0,"2017-03"
2017-03-31,22,"Indiana",15,120300,0,0.0100755667506297,0.0308483290488432,0.0212390998511396,0.00278534069168068,"2017-03","2017-Q1",120300,0,"2017-03"
2017-03-31,8,"Arizona",16,220800,0.00318037255792821,0.0119156736938588,0.0744525547445255,0.097449440930143,-0.0132867233761258,"2006-05","2006-Q2",261800,-0.156608097784568,"2005-07"
2017-03-31,53,"Tennessee",17,139700,0.00575953923686105,0.016,0.076271186440678,0.040042061905653,0.0156557291525823,"2017-03","2017-Q1",139700,0,"2017-03"
2017-03-31,32,"Missouri",18,140100,0,0.00502152080344333,0.0565610859728507,0.028053369685582,-0.00805398706807592,"2007-05","2007-Q2",153200,-0.085509138381201,"2004-12"
2017-03-31,27,"Maryland",19,270200,0.00111152278621712,0.00670640834575261,0.0501360279828993,0.0384008919464889,-0.017629795246711,"2007-04","2007-Q2",323100,-0.163726400495203,"2005-05"
2017-03-31,60,"Wisconsin",20,164100,0.00613120784794605,0.0198881292728403,0.0662768031189084,0.0302244065279469,0.00398607375632509,"2017-03","2017-Q1",164100,0,"2017-03"
2017-03-31,31,"Minnesota",21,205200,0.00391389432485323,0.0178571428571429,0.0817079599367422,0.0658147019862418,-0.00121022884023003,"2006-05","2006-Q2",210800,-0.0265654648956357,"2005-07"
2017-03-31,10,"Colorado",22,327300,0.00552995391705069,0.0183571873055383,0.0979537068097954,0.0947999906253614,0.0374534278452452,"2017-03","2017-Q1",327300,0,"2017-03"
2017-03-31,4,"Alabama",23,125200,0.000799360511590727,0.0104923325262308,0.0270713699753897,0.0127757463723788,-0.00213135043205037,"2009-05","2009-Q2",134000,-0.0656716417910448,"2006-06"
2017-03-31,51,"South Carolina",24,144600,0.00346981263011797,0.0190274841437632,0.072700296735905,0.0366216424346566,0.00490136297315247,"2017-03","2017-Q1",144600,0,"2017-03"
2017-03-31,24,"Kentucky",25,134500,0.000744047619047619,0.0128012048192771,0.0615627466456196,0.0286221885513995,0.0146453209633599,"2017-03","2017-Q1",134500,0,"2017-03"
2017-03-31,46,"Oregon",26,304800,0.00627269725982172,0.0224756793022476,0.120588235294118,0.0963822074030132,0.0141675213697052,"2017-03","2017-Q1",304800,0,"2017-03"
2017-03-31,45,"Oklahoma",27,116100,0.00693842150910668,0.0166374781085814,0.0468890892696123,0.0442491291863925,0.0324023330695788,"2017-03","2017-Q1",116100,0,"2017-03"
2017-03-31,11,"Connecticut",28,244100,0.00205254515599343,0.00411353352529823,0.0230511316010059,0.00978511467984466,-0.0180267197004912,"2006-06","2006-Q2",293400,-0.168029993183367,"2004-05"
2017-03-31,19,"Iowa",29,125600,-0.00554235946159937,-0.00789889415481832,0.0129032258064516,0.0244691737235947,,"2017-01","2017-Q1",126800,-0.00946372239747634,"2016-10"
2017-03-31,34,"Mississippi",30,112300,0.00178412132024978,0.00357462019660411,0.0218380345768881,0.00802583360389342,0.0166565915941441,"2009-07","2009-Q3",127100,-0.116443745082612,"2008-12"
2017-03-31,6,"Arkansas",31,118500,0.00679694137638063,0.020671834625323,0.0570918822479929,0.0298371238197792,0.0142156263001219,"2017-03","2017-Q1",118500,0,"2017-03"
2017-03-31,23,"Kansas",32,124600,0.000803212851405623,0.0105433901054339,0.0444258172673931,0.0220990246132422,,"2017-03","2017-Q1",124600,0,"2017-03"
2017-03-31,55,"Utah",33,245600,0.00532132623823168,0.0203572912339011,0.0848056537102473,0.0665019946415271,0.00168489015307594,"2008-01","2008-Q1",259700,-0.0542934154793993,"2007-05"
2017-03-31,42,"Nevada",34,233000,0.00561070349589987,0.0174672489082969,0.088785046728972,0.133905752305335,-0.0235489884714154,"2006-04","2006-Q2",310700,-0.250080463469585,"2004-06"
2017-03-31,41,"New Mexico",35,173300,0.00231347599768652,0.0146370023419204,0.057997557997558,0.0186577534770005,-0.00957403055688499,"2009-05","2009-Q2",196300,-0.117167600611309,"2005-05"
2017-03-31,61,"West Virginia",36,101600,0.0019723865877712,0.00395256916996047,0.05175983436853,0.0272973041517521,,"2017-03","2017-Q1",101600,0,"2017-03"
2017-03-31,38,"Nebraska",37,147600,0.00408163265306122,0.0116518163125428,0.0657039711191336,0.0419248064517326,0.0172474215659264,"2017-03","2017-Q1",147600,0,"2017-03"
2017-03-31,20,"Idaho",38,185300,0.00488069414316703,0.0186915887850467,0.0829924021040327,0.0588811979403052,-0.00349370971634277,"2007-11","2007-Q4",196700,-0.057956278596848,"2006-07"
2017-03-31,18,"Hawaii",39,597700,0.0106526885356781,0.0220588235294118,0.0675120557242365,0.0693743123115844,0.00955124973548771,"2017-03","2017-Q1",597700,0,"2017-03"
2017-03-31,28,"Maine",40,182900,0.00715859030837004,0.0212171970965941,0.0246498599439776,0.00175883246176167,-0.014003135525107,"2006-06","2006-Q2",222000,-0.176126126126126,"2003-12"
2017-03-31,39,"New Hampshire",41,242600,0.00663900414937759,0.0176174496644295,0.0635686102586585,0.0418873647503064,-0.00240000028567577,"2006-04","2006-Q2",255500,-0.0504892367906067,"2005-03"
2017-03-31,50,"Rhode Island",42,250300,0.00360866078588613,0.0125404530744337,0.0592467202708422,0.0409411554131467,-0.0123779475957642,"2006-06","2006-Q2",293300,-0.146607569041937,"2004-04"
2017-03-31,35,"Montana",43,199900,0.00200501253132832,0.0167853509664293,0.0582318687136051,0.0316029061209342,0.0183280799887531,"2009-08","2009-Q3",213600,-0.0641385767790262,"2009-03"
2017-03-31,13,"Delaware",44,217100,0.00462748727441,0.0121212121212121,0.0323347598668569,0.0301897089421528,-0.00734093917552103,"2007-04","2007-Q2",234000,-0.0722222222222222,"2005-09"
2017-03-31,52,"South Dakota",45,171300,0,0.0041031652989449,0.00058411214953271,0.0432750625308651,0.0226697065137627,"2017-03","2017-Q1",171300,0,"2017-03"
2017-03-31,3,"Alaska",46,267300,-0.00037397157816006,0.00375516334960571,0.00906002265005663,0.0211005150048689,0.0000748531042495948,"2008-06","2008-Q2",277700,-0.0374504861361181,"2007-04"
2017-03-31,37,"North Dakota",47,202000,-0.00049480455220188,-0.0122249388753056,-0.000989119683481701,0.0402874726218831,0.0467623234231582,"2016-12","2016-Q4",204500,-0.0122249388753056,"2016-03"
2017-03-31,12,"District of Columbia",48,559300,0.00920245398773006,0.0386258124419684,0.106648199445983,0.0880949179050485,0.0345568399049037,"2017-03","2017-Q1",559300,0,"2017-03"
2017-03-31,62,"Wyoming",49,193500,-0.00154798761609907,-0.00257731958762887,0.00519480519480519,0.0128866987274545,0.00781958516935877,"2009-06","2009-Q2",212000,-0.0872641509433962,"2008-09"
